species,class,parameter,min,max,value,calibration,calibration == T
beech,parDormancy,limitingPhotoperiod,12.7,13.5,13,,FALSE
beech,parDormancy,notLimitingPhotoperiod,12,12.7,12,,FALSE
beech,parDormancy,limitingTemperature,14,27,20,,FALSE
beech,parDormancy,notLimitingTemperature,2,8,5,,FALSE
beech,parDormancy,photoThermalThreshold,20,60,10,x,TRUE
beech,parEndodormancy,limitingLowerTemperature,-10,-3,-3.4,,FALSE
beech,parEndodormancy,notLimitingLowerTemperature,-4,-1,3.5,,FALSE
beech,parEndodormancy,notLimitingUpperTemperature,2,6,3.5,,FALSE
beech,parEndodormancy,limitingUpperTemperature,6,9,10.4,,FALSE
beech,parEndodormancy,chillingThreshold,70,180,70,x,TRUE
beech,parEcodormancy,notLimitingTemperature,18,24,21,,FALSE
beech,parEcodormancy,notLimitingPhotoperiod,9.5,12.5,11,,FALSE
beech,parEcodormancy,photoThermalThreshold,5,25,40,x,TRUE
beech,parGrowth,minimumTemperature,1,6,3.5,,FALSE
beech,parGrowth,optimumTemperature,15,24,18,,FALSE
beech,parGrowth,maximumTemperature,31,38,30,,FALSE
beech,parGrowth,thermalThreshold,30,70,25,x,TRUE
beech,parGreendown,thermalThreshold,50,110,50,x,TRUE
beech,parSenescence,limitingPhotoperiod,12.7,13.5,13,,FALSE
beech,parSenescence,notLimitingPhotoperiod,12,12.7,12,,FALSE
beech,parSenescence,limitingTemperature,14,22,20,,FALSE
beech,parSenescence,notLimitingTemperature,2,8,5,,FALSE
beech,parSenescence,photoThermalThreshold,40,90,40,x,TRUE
beech,parVegetationIndex,nNDVIGrowth,0.4,3,1,x,TRUE
beech,parVegetationIndex,nNDVISenescence,0.1,2,1,x,TRUE
beech,parVegetationIndex,nNDVIGreendown,0.01,0.45,0.2,x,TRUE
beech,parVegetationIndex,nNDVIEcodormancy,0.5,3,2,x,TRUE
beech,parVegetationIndex,nNDVIEndodormancy,0.01,2,0.5,x,TRUE
beech,parVegetationIndex,pixelTemperatureShift,-4,4,2,x,TRUE
beech,parVegetationIndex,minimumNDVI,0,0.2,2,x,TRUE
beech,parVegetationIndex,maximumNDVI,0.7,0.95,2,x,TRUE
